GAN loss,Discrimination loss
1.791487693786621,0.308241069316864
1.9928582906723022,0.1936606764793396
2.152501106262207,0.12378404289484024
1.7138910293579102,0.22010883688926697
1.7065023183822632,0.1851925551891327
1.9583547115325928,0.16502578556537628
2.297645092010498,0.13730943202972412
2.790583372116089,0.13613758981227875
3.1302504539489746,0.07298286259174347
3.525230884552002,0.07638593018054962
3.7909278869628906,0.07888590544462204
4.166597366333008,0.05206794664263725
4.085138320922852,0.04815572127699852
3.879450798034668,0.04869002848863602
4.0808234214782715,0.04567896947264671
3.678677558898926,0.052369095385074615
4.35047721862793,0.03520342335104942
4.425640106201172,0.05449756607413292
4.04530143737793,0.03479776531457901
4.626181602478027,0.036972738802433014
4.099950790405273,0.04780661314725876
5.012507438659668,0.06355421990156174
3.9775171279907227,0.05926447734236717
3.844541311264038,0.06634929776191711
3.7201457023620605,0.06201504170894623
4.430129051208496,0.06275516003370285
3.821810245513916,0.06936183571815491
3.684530258178711,0.13449567556381226
4.204005718231201,0.04685281217098236
4.3193230628967285,0.06846988946199417
3.6705336570739746,0.0986761823296547
3.3125109672546387,0.16888847947120667
3.481569290161133,0.07767517119646072
4.0938920974731445,0.11743141710758209
3.9850049018859863,0.1241830438375473
4.0723557472229,0.12591765820980072
3.7647857666015625,0.16128107905387878
3.3943185806274414,0.20382046699523926
3.568037748336792,0.12101331353187561
2.760038137435913,0.16831883788108826
3.2066516876220703,0.14217813313007355
3.545325756072998,0.14499521255493164
2.769791603088379,0.16962678730487823
3.381848096847534,0.17574404180049896
3.178567409515381,0.1927027702331543
2.6442275047302246,0.16268566250801086
3.210237503051758,0.1740036904811859
3.7408950328826904,0.1648172289133072
3.0973892211914062,0.2655933201313019
2.932093381881714,0.18452481925487518
2.93469500541687,0.12357266247272491
3.1187691688537598,0.2088494598865509
2.769005298614502,0.16659066081047058
2.890446662902832,0.16975319385528564
2.8422603607177734,0.2166270762681961
3.3053336143493652,0.22560258209705353
3.012301206588745,0.19824892282485962
2.933882474899292,0.20780113339424133
2.3874974250793457,0.2268439680337906
2.5740838050842285,0.14987985789775848
2.898181915283203,0.2592090368270874
2.831836700439453,0.2102486491203308
2.874795436859131,0.23329199850559235
2.1288809776306152,0.3198128342628479
3.0349032878875732,0.2588021457195282
2.3221092224121094,0.199693500995636
2.764756917953491,0.2791381776332855
2.5347211360931396,0.24851614236831665
2.7643446922302246,0.2618936598300934
2.4111154079437256,0.248325914144516
2.6572864055633545,0.18853889405727386
2.7476134300231934,0.21359440684318542
2.6102962493896484,0.21860207617282867
2.4403929710388184,0.3606613576412201
2.5427427291870117,0.2722976803779602
2.643265962600708,0.1799454540014267
2.7245712280273438,0.2042756825685501
2.5417041778564453,0.3554760813713074
2.5540199279785156,0.1948191374540329
2.4463391304016113,0.30197131633758545
2.8031020164489746,0.24322620034217834
2.3612966537475586,0.29081088304519653
2.2620034217834473,0.25608861446380615
2.2537689208984375,0.2873654365539551
2.3021810054779053,0.22607706487178802
2.2908272743225098,0.21670813858509064
2.4222915172576904,0.3228801488876343
2.343132257461548,0.2623293101787567
2.176297187805176,0.28329432010650635
2.1959166526794434,0.30141186714172363
2.211374044418335,0.28012585639953613
2.1626362800598145,0.28115779161453247
2.279850482940674,0.3189569115638733
2.233944892883301,0.26945680379867554
2.0693416595458984,0.30123385787010193
2.267066478729248,0.2644175887107849
2.000612497329712,0.30243176221847534
2.1201553344726562,0.3338622450828552
2.3129515647888184,0.2432076334953308
2.1074929237365723,0.3161017894744873
1.8272943496704102,0.3749581575393677
